10 MiB, 1 GiB, 10 GiB, 50 GiB,
0.000004,0.001027,0.005602,0.028697,
0.000004,0.000930,0.005854,0.028409,
0.000004,0.000847,0.005965,0.029261,
0.000005,0.000704,0.006776,0.028998,
0.000004,0.000664,0.005902,0.028428,
0.000004,0.000875,0.005625,0.029591,
0.000005,0.000656,0.006800,0.030106,
0.000003,0.000667,0.005906,0.029785,
0.000005,0.000572,0.006529,0.028404,
0.000005,0.000632,0.005896,0.028816,
0.000005,0.000694,0.006046,0.026729,
0.000004,0.000654,0.005976,0.028591,
0.000004,0.000540,0.005923,0.028306,
0.000004,0.000584,0.006073,0.026889,
0.000004,0.000835,0.005583,0.027921,
0.000004,0.000853,0.006289,0.029125,
0.000005,0.000782,0.005869,0.029753,
0.000003,0.000992,0.006304,0.029395,
0.000005,0.000706,0.009574,0.026323,
0.000004,0.000742,0.005645,0.027044,
0.000004,0.000748,0.005409,0.027518,
0.000005,0.000662,0.005579,0.027202,
0.000003,0.000704,0.005717,0.030109,
0.000004,0.000502,0.005731,0.029209,
0.000004,0.000658,0.005630,0.026873,
0.000004,0.000787,0.006228,0.028453,
0.000006,0.000989,0.006042,0.028909,
0.000004,0.000499,0.005485,0.029026,
0.000004,0.000858,0.006364,0.028590,
0.000004,0.000901,0.005795,0.029678,
0.000004,0.000835,0.006355,0.029797,
0.000004,0.000753,0.005762,0.026470,
0.000003,0.001026,0.005373,0.026445,
0.000004,0.000631,0.005338,0.027466,
0.000004,0.000756,0.009429,0.028250,
0.000004,0.000692,0.005808,0.027941,
0.000004,0.000720,0.005461,0.028789,
0.000004,0.000954,0.005318,0.028440,
0.000006,0.000531,0.009541,0.028740,
0.000004,0.000626,0.005464,0.027943,
0.000004,0.000502,0.006217,0.030325,
0.000004,0.000933,0.005669,0.029026,
0.000004,0.000781,0.005854,0.034969,
0.000005,0.000795,0.005663,0.029541,
0.000004,0.000509,0.006110,0.028885,
0.000004,0.000714,0.006040,0.028565,
0.000004,0.000789,0.006239,0.029563,
0.000004,0.000662,0.005951,0.028789,
0.000004,0.000653,0.005974,0.031905,
0.000005,0.000706,0.006251,0.028452,
0.000004,0.000838,0.005993,0.029492,
0.000004,0.000512,0.006012,0.030249,
0.000004,0.001090,0.006009,0.028591,
0.000004,0.000672,0.005608,0.028872,
0.000008,0.000691,0.006102,0.027093,
0.000004,0.000961,0.005392,0.027119,
0.000004,0.000494,0.005559,0.028393,
0.000004,0.000771,0.005765,0.027754,
0.000005,0.000765,0.006365,0.028908,
0.000005,0.000654,0.005772,0.028592,
0.000003,0.000773,0.005467,0.027971,
0.000003,0.000710,0.005777,0.029723,
0.000007,0.000938,0.005907,0.028978,
0.000004,0.000637,0.005244,0.026615,
0.000004,0.000695,0.005949,0.029524,
0.000004,0.000580,0.006109,0.028576,
